Product Name,Price,Href
POKÉMON TCG Scarlet & Violet 1 Booster Bundle,$42.00,https://guf.com.au/products/pokemon-tcg-scarlet-violet-1-booster-bundle?_pos=1&_sid=93f66f8ae&_ss=r
POKÉMON TCG Scarlet & Violet 1 Booster box,$207.90,https://guf.com.au/products/pokemon-tcg-scarlet-violet-1-booster-box?_pos=2&_sid=93f66f8ae&_ss=r
POKÉMON TCG Scarlet & Violet 1 Elite Trainer Box -  Koraidon,$94.95,https://guf.com.au/products/pokemon-tcg-scarlet-violet-1-elite-trainer-box-koraidon?_pos=3&_sid=93f66f8ae&_ss=r
POKÉMON TCG Enhanced 2 Pack Blisters,$20.00,https://guf.com.au/products/pokemon-tcg-enhanced-2-pack-blisters?_pos=4&_sid=93f66f8ae&_ss=r
POKÉMON TCG November 2022 Collector Chest,$49.99,https://guf.com.au/products/pokemon-tcg-november-2022-collector-chest?_pos=5&_sid=93f66f8ae&_ss=r
POKÉMON TCG Crown Zenith Morpeko V Union Box,$80.00,https://guf.com.au/products/pokemon-tcg-crown-zenith-morpeko-v-union-box?_pos=6&_sid=93f66f8ae&_ss=r
POKÉMON TCG Sword and Shield 11 - Lost Origin Elite Trainer Box,$74.99,https://guf.com.au/products/pokemon-tcg-sword-and-shield-11-lost-origin-elite-trainer-box?_pos=7&_sid=93f66f8ae&_ss=r
POKÉMON TCG Urshifu VMAX Rapid Strike League Battle Deck,$60.00,https://guf.com.au/products/pokemon-tcg-urshifu-vmax-rapid-strike-league-battle-deck?_pos=8&_sid=93f66f8ae&_ss=r
POKÉMON TCG League Battle Deck Origin Forme Palkia VSTAR,$59.95,https://guf.com.au/products/pokemon-tcg-league-battle-deck-origin-forme-palkia-vstar?_pos=9&_sid=93f66f8ae&_ss=r
POKÉMON TCG Trainer's Toolkit 2022,$45.00,https://guf.com.au/products/pokemon-tcg-trainers-toolkit-2022?_pos=10&_sid=93f66f8ae&_ss=r
